year,state,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
1991,Rajasthan,2904425.7478842097,3080386.0338620525,2627198.07150304,1880068.201788431,1854236.7499927133,1718347.9259271852,1451131.814701069,1187624.4664360026,965740.5679564618,856937.7468226547,697470.4255021387,531179.8917616702,565094.3150943666,315489.1016789413,267731.2763883297,238358.97504858376
1991,Sikkim,25564.451812136536,28012.14447404799,26391.064065518098,21266.73608945948,19047.035577151546,17356.820136589624,12947.46069636357,10370.748835214741,7886.456858310965,6191.237104056604,5071.853080585537,3548.117063348136,3417.9029016136133,1938.0750410952553,1360.0601823127033,1406.2799896660385
1991,Tamil Nadu,2553260.3570153583,2930013.5211892687,2948494.4174357224,2825035.7961478736,2708911.1516921395,2602691.1729924907,1964197.992574653,2004664.7511092345,1540511.2858171025,1483248.3456374388,1174296.7963221236,900692.5612590823,820555.0267473275,502789.14063222683,358805.1271277311,344166.7838913529
1991,Telangana,1476416.4559789156,1827900.0138110893,1541874.4487733738,1273290.3972624873,1242784.5944327016,1244536.4341573908,951824.1218601065,886497.7555997256,698939.3114313257,599620.1468007801,569904.2545713922,339218.1830618617,425588.2044708587,191079.49397066078,187081.68008588935,146570.37404403122
1991,Tripura,165232.4486914156,189499.6374655721,164804.9863067752,133471.01703924232,123861.54084004562,126700.63466175785,91201.50476254069,79506.03901536233,56452.47260671535,49628.72695750765,41198.7151955434,27634.36595538954,32071.064980624185,18902.323027244325,18447.739541495626,26856.53292794524
1991,Uttar Pradesh,8961246.999376753,9214184.09530497,7457649.525822816,5377111.599751932,5296600.606973882,4795052.624597701,4256455.381765634,3610654.1662601014,2988839.4953944404,2631010.4593935134,2043033.5283377382,1637301.247146913,1614499.5018087684,942955.7346766765,704819.6567555685,771535.6455479509
1991,Uttarakhand,392721.3327305668,402194.38950070157,379992.80279034196,336945.4953819505,309232.14816279843,265938.0798507467,217075.7239932684,203311.9837573201,168300.06064631,153550.46136469784,129137.05009277991,92325.96313221563,91811.18604100645,56335.282445780336,44015.27991009392,48354.652874268766
1991,West Bengal,3871865.933959505,4470757.990107506,3971867.9666516935,3018360.606653108,3121335.6655801428,3082575.6607526443,2374707.0364175104,2024067.9646187467,1511363.6112913229,1328320.399848042,1113613.7060123926,814027.133642831,795433.0525642808,486497.65847752383,367696.6499361446,394728.5274004202
2001,Andaman & Nicobar,15354.982105644436,16799.042331037133,18955.040316572376,17825.73326681461,17545.44954788412,17582.497393458147,12894.648530301663,13550.088238409498,9065.921441633387,8174.715893936311,4976.95709820905,3680.724834982311,2774.3008747755002,2079.6564769076012,1361.661087641823,1501.8016746145533
2001,Andhra Pradesh,1924380.8899522068,2582854.9568376117,2487001.03907504,2140188.9780857144,2043806.1367722822,2086996.0566452427,1637305.286646296,1688985.755962887,1190155.480143067,1091865.612709414,860443.0691634887,670670.36317019,720552.9016680697,447661.48443873826,343924.71784725314,289143.4094437049
2001,Arunachal Pradesh,68218.85428852562,79452.46036656476,70858.57734118581,53726.18282360225,41990.43645143725,46339.657242593836,35951.23935456641,34728.12816359296,23029.829494182144,20369.69992288042,14020.460842941611,10052.216089161462,9375.281267208378,5770.347812341594,3930.331112053622,4671.018791241747
2001,Assam,1497435.195861969,1769032.4364261462,1622854.4964971677,1249756.6756740029,1165753.8507816344,1198271.6157648836,980591.2171929873,910509.8910572531,610869.5937878209,515315.3888959974,379712.67085430375,285025.9555142965,290894.8213327737,193671.94401168835,140639.3913685779,143579.3453673619
2001,Bihar,5422194.465621901,6152648.065849904,5154457.155892479,3196349.7699199934,3170163.0646199794,3042644.3737408035,2862638.254192108,2528096.141748006,1957229.8893727127,1700496.3361984838,1177928.5660464317,1093637.6032686206,994544.731239579,681958.8639984606,463831.94806498644,471831.4607519153
2001,Chandigarh,36446.60342226147,41509.9161920779,42123.0543277539,38638.60339531584,43557.46455856599,40582.86665370996,32985.13600587982,31307.63265723071,24333.83960865128,20754.936144696207,14139.216477448703,9185.959321001441,7206.093361170878,5649.540402903888,3897.885712060658,4770.114397157696
2001,Chattisgarh,1214809.173255225,1309232.9057982953,1282639.9785619315,933336.3301399216,851261.8936783548,827913.3157723108,793234.2153792782,702978.3287311471,537287.6446010775,467961.366603349,366932.20287440304,319299.7044245356,308018.5515025552,223846.69351903853,149802.9157033068,142295.9540360353
2001,Dadra & Nagar Haveli,14699.887779493736,12812.443159002129,10983.139845811107,8763.710541576853,10430.674446083696,9752.17226405144,7688.942126347326,6429.780548586024,4721.972034801603,3844.4734069873884,2684.8163918566875,2322.428356460358,2107.324578613655,1354.8557007038878,849.2386638349167,693.4637709598487
2001,Daman & Diu,7241.019442066979,6940.556918821436,6663.512867647116,6605.55884600983,7324.04956322425,7126.233828444511,5233.513672203738,4464.329127977718,3122.8511784031607,2840.3817199030836,2201.6481412763433,1849.525385816352,1723.4168078155287,1215.7394692755026,833.6771382929844,991.6803066868318
2001,Delhi,643610.3381285573,727130.7207474569,733174.9889628981,618703.1904555106,619238.5842731296,621041.5887490084,530263.6398059418,483717.25422663125,351877.267108601,276788.8070185028,194692.14951852,145641.06796869772,130025.00042793459,98154.9556998025,64435.62910689972,67165.76078277708
2001,Goa,50496.523280509515,52611.76324889852,58850.238299264754,60189.39321758209,66690.65671248254,68432.85187463534,56875.66017479679,51956.38712710102,38989.102558959225,38071.8920084249,31849.0599132634,24242.88332105148,22751.153048152613,15922.559693531653,12012.770643926186,12911.569305206165
2001,Gujarat,2485582.5559178046,2678011.2164285816,2670983.371606464,2443153.346862427,2315225.585009353,2057549.3844764326,1972853.7240304432,1746798.0484189498,1443373.2737336534,1156831.5560447252,872684.6537457113,701262.9323567582,678429.3339107543,480203.355544093,351203.3054237809,381813.04073762766
2001,Haryana,1027347.3807064518,1199242.9315367837,1255947.9235053028,996839.4583150728,892968.1050252306,830864.6856178538,749144.9731098991,680774.400995568,514745.0906534696,401745.2858260779,284660.439951035,217833.83715026418,265225.7865134189,227268.40954753698,149290.57797394754,157545.98574054026
2001,Himachal Pradesh,263723.6513149217,296426.02371736744,344353.8303729253,303467.02194788726,289348.74250865704,263053.368567298,219553.85757810652,213386.86292039297,165255.32667858308,153617.18073806656,116562.02014815356,95002.4896129016,88056.57954340221,68268.315573231,53893.70750347343,69926.46038793203
2001,Jammu & Kashmir,462098.1244616266,620300.2435165299,650132.5065581267,548707.7140946725,410089.13973026385,363942.6503760766,316277.62304694037,325155.26661063125,234514.6573407215,211805.34775548088,140116.86192882285,127938.19352671465,105796.29797572484,79553.77589986133,57359.086509702305,65505.45754556335
2001,Jharkhand,1623727.8955372064,1914192.555420831,1698760.3877211816,1159567.149165837,1072166.4231487077,1028724.6054203636,959336.8865096557,865663.871339709,675952.0647590767,585518.8336401987,421501.9878329642,353092.8483328093,317837.88697247166,211568.92521370697,140214.15174138406,131989.5172932119
2001,Karnataka,2406392.130829009,2785361.6516116206,3037183.431241834,2555382.301582808,2361177.4043527483,2378831.5499754297,1918307.6899471479,2010125.6197839107,1435655.4846339514,1294414.426493061,1000647.3524897917,739207.9109194446,777315.9681632315,519775.42423598166,421369.6851584487,445150.4748090937
2001,Kerala,1354986.9890465606,1246714.9999472797,1461909.80393672,1496247.4481404547,1540019.526797602,1490405.596518087,1336615.15782813,1319405.8527577654,1001266.112703908,984716.4374508313,720697.7780928978,594385.8609103916,556565.8006722447,505839.17515073816,343576.99318948016,462837.7997228658
2001,Ladakh,9367.9176849972,12575.081597694558,13179.858310122157,11123.716861544468,8313.561776473833,7378.053729940905,6411.761012365571,6591.733684270036,4754.215370280384,4293.839247513156,2840.5292281993047,2593.636291257077,2144.763110581134,1612.759681785945,1162.8162341830619,1327.9641308214716
2001,Lakshadweep,3163.072869395301,3203.863410547667,3663.7985026800375,3033.1650274850076,2873.3863004964905,2580.609359482965,2134.451521664875,2080.8446987243315,1413.9494655983287,1596.9100276014794,1033.8639464278656,973.7468437712557,734.7998045630317,473.7359850501531,334.40487542442725,326.0096320706818
2001,Madhya Pradesh,3580504.9720943016,3937290.485822786,3680185.1942090774,2565326.064305864,2495619.774760263,2319135.1804082133,2181210.750342212,1887748.8607236885,1398695.0365476075,1169596.1183373905,864904.964261207,797626.6264933033,803363.0151243831,587857.1861980271,408035.1138401537,418236.8772204976
2001,Maharashtra,4551189.956846768,4931567.511541695,5412824.534965035,4341241.795272128,4107666.6179261343,4060841.4564277455,3621790.705431389,3450346.3960089344,2562697.4894525157,2160570.1624373686,1597646.7515883045,1367522.7729499137,1542877.1510608492,1425774.390477678,827074.1664796378,789087.1330153322
2001,Manipur,100944.85936407,119617.03275736579,127467.68760160319,120371.10774239617,113162.60417450209,99799.78313264363,79153.61651526991,73808.73892291001,57819.37892204194,49002.18512163564,37803.213651466984,27196.44727810238,24059.519553106915,18149.396143040245,14426.631647393604,16546.81946271504
2001,Meghalaya,161354.8801906264,167801.52055628307,159171.84297179748,124385.17789663162,101887.52416536164,97741.61685993925,73802.63203183404,72990.60495054822,48592.404571413506,42612.31076549677,29403.168185031886,20786.24289637385,19076.452135487263,13248.379846013288,9390.143968323053,10668.440775625033
2001,Mizoram,49980.8399633684,51310.1412754519,53724.67597313499,49060.53537609881,46012.98477110056,38154.40419222899,28584.559027055308,27787.164395591135,22584.89498249549,17262.852083269918,14548.622847800505,9455.90852717266,8146.838997742645,6106.629743632626,4615.919828150462,5675.8532672195
2001,Nagaland,93483.76180704236,125011.59814793171,136816.7209665889,127501.41254781601,100950.62292686736,81288.68473213968,59201.77624481976,59257.00526033223,44675.012910287754,40251.73313453762,25117.6543040576,17418.874246596297,13839.03387340362,9474.469110957398,6615.53037366623,10137.605609893548
2001,Orissa,1752279.264333156,2139114.8627475086,2095161.2600182132,1780803.7074301098,1599950.7138967703,1600530.2940188963,1395687.573863391,1307711.7177169938,968280.1622462779,837552.8839656997,640431.7710805832,559367.2484630935,566524.8458078579,409242.87585263565,309305.42492088553,268313.7154424179
2001,Puduchery,41838.38584244975,41047.61053601587,46476.378397912194,48429.68526605573,49949.64551723198,50975.22318551349,40474.88853317141,39260.91485724723,27845.45067462892,24709.24428677242,19005.282302651998,15961.267567696616,15644.905164114449,11584.246374286831,8623.081183942299,9326.812160577896
2001,Punjab,944065.9296005424,1201949.9522502066,1314352.754818294,1171614.3668820031,1093577.8940255442,943044.7548150064,888589.8116289483,843368.6054146232,676574.9255249359,553527.6435174922,397844.76667803834,309546.35214430006,351238.0601394691,304421.603978325,198085.94507193146,242540.09649860286
2001,Rajasthan,3480597.4706441485,3859445.1792545677,3436218.1437069285,2541504.0498663024,2309788.8133742223,2094694.2286733403,1929593.2431629738,1690447.9042037511,1304801.1189166533,1102473.540442923,812295.4343670321,713658.050861152,693926.8725258148,535204.6588714796,388374.2983027134,396966.1138589264
2001,Sikkim,25480.784859902997,32433.455984774166,35415.152239781266,31148.680120391655,25925.68475761936,22879.618355140847,17746.45526387692,16242.440280736551,12107.307847987633,9501.711459863585,7266.1711643655935,5048.820926679887,4720.044377575478,3408.2429623192174,2332.628874354764,2410.049428440122
2001,Tamil Nadu,2495269.264006789,2739042.3580770567,2945714.031099264,3072149.1452524406,2957227.2483125464,3020155.7804475157,2374742.89413665,2556755.271596524,1834834.6401577825,1793444.1775386746,1383985.9122699,1148893.0499473664,1047061.9374980284,724100.2587207052,520103.41341311473,529455.6748636974
2001,Telangana,1354580.3331136159,1818083.1799385296,1750611.1776280645,1506488.6135579096,1438644.2995894682,1469045.8777563134,1152506.529333237,1188884.6433063364,837755.7765028679,768569.0983015075,605669.7327116604,472087.874441046,507200.4168529012,315110.9252224085,242090.15029197716,203529.3417882505
2001,Tripura,144789.0256971832,177717.81682811416,204624.12420932646,166134.88848442657,140207.92735349928,143249.0573904834,118070.9095637687,116932.10929788226,77833.22750875485,69098.02331630356,47414.301253792495,37591.58634193117,36938.71814560641,27687.886584072545,23920.57611824401,32380.217434869395
2001,Uttar Pradesh,10037650.821430894,11848289.885544743,10456412.436891254,7182467.612393912,6411680.093041739,5875467.963862068,5538701.393321434,4795727.402273822,3780210.6507081287,3224312.6866194783,2346612.786254409,2141438.3393883603,2055550.233031647,1462347.4595474584,1001799.3853984989,1035750.3233278194
2001,Uttarakhand,440017.90418304637,516827.98970204743,531524.5634213833,448321.56558703317,374400.83252896107,326070.02806719946,282716.1716447689,269855.5777476445,212952.25881895676,188208.7094253062,148368.1759027147,120821.7042891235,117003.6626216927,87329.08622952191,62573.218563303955,64985.46011364361
2001,West Bengal,3741848.52717488,4637560.596195352,4639438.502875434,3591401.6052336222,3519334.622739162,3584154.493696068,3045739.436824502,2897754.664532684,2071290.8414932722,1814932.2616611423,1324261.5961704156,1089146.618585443,1004439.3836998369,777202.4182618682,544221.3878243298,625849.9320555534
2011,Andaman & Nicobar,14086.613262665907,14897.27470538203,16285.009253642998,15713.074783620083,17609.363131588412,19582.527383087974,16516.3775120264,15768.806701087124,12048.725529913134,10698.492087795983,7705.341843229999,6028.592428338134,4653.142902127915,2828.2716773176076,1736.2170462595666,2179.236311817698
2011,Andhra Pradesh,1801815.543295805,2084356.125662007,2360945.3452610644,2314529.284344045,2428248.833111445,2372879.261554015,1956630.1234127516,1969987.7883818469,1556732.683924376,1361981.3505232218,1070709.3088346357,933639.8135516288,1027180.2597642236,680826.0798712334,458413.9919816173,455612.00409659505
2011,Arunachal Pradesh,70564.10258816343,84696.2141920696,89717.80654896551,78349.74654526112,66739.09513394542,60959.246793520026,49270.22602201657,46685.18775154262,36318.66737606887,28866.034684791928,19869.159857253708,13014.514894331378,12065.503453793814,7400.06852572623,5151.238251062322,6127.429452402152
2011,Assam,1581670.7864096703,1738082.2229296693,1706328.4147789734,1482328.7704962853,1507455.6881460429,1431376.2923021365,1163169.5160203658,1115067.0544465184,876728.2384440053,759343.2312239124,557453.2536823014,403463.4472600165,384927.5734636048,252058.21695043432,190881.6420273394,206700.50140692104
2011,Bihar,6240308.840731795,7308736.178435229,6678090.122556112,4237131.871198526,3894996.325093943,3888823.2062121565,3585015.8621387943,3185250.149965429,2435454.2057618513,2082091.3679926172,1522773.7876726203,1486905.5611452896,1472398.067765865,1002528.344057534,602598.3434873616,577294.9810232786
