scheme,year,band,females
S0,1963,10-14,17343594.33361935
S0,1963,15-19,17684116.083285496
S0,1963,20-24,18520563.557784423
S0,1963,25-29,18834663.90125099
S0,1963,30-34,17775611.742543876
S0,1963,35-39,16544891.818104655
S0,1963,40-44,15278218.101915896
S0,1963,45-49,13814322.925017
S0,1963,50-54,12364529.13584575
S0,1963,55-59,10494913.671946168
S0,1963,60-64,8447901.793338925
S0,1963,65-69,6430620.105724692
S0,1963,70-74,4887817.752021372
S0,1963,75+,6826021.102427065
S0,1963,0-8,
S0,1963,9-14,
S0,1963,0-17,
S0,1963,18-29,
S0,1963,30-65,
S0,1963,66+,
S0,1963,15-26,
S0,1963,27-45,
S0,1963,46-65,
S0,1964,00-04,16609707.98376259
S0,1964,05-09,17195487.02555106
S0,1964,10-14,17753166.807079025
S0,1964,15-19,18101730.046449944
S0,1964,20-24,18957930.396532774
S0,1964,25-29,19279448.282875
S0,1964,30-34,18195386.39413038
S0,1964,35-39,16935602.770789266
S0,1964,40-44,15639016.299664825
S0,1964,45-49,14140550.943312049
S0,1964,50-54,12656519.98179838
S0,1964,55-59,10742753.172149003
S0,1964,60-64,8647400.695728213
S0,1964,65-69,6582480.494748861
S0,1964,70-74,5003244.552718312
S0,1964,75+,6987218.965628386
S0,1964,0-8,
S0,1964,9-14,
S0,1964,0-17,
S0,1964,18-29,
S0,1964,30-65,
S0,1964,66+,
S0,1964,15-26,
S0,1964,27-45,
S0,1964,46-65,
S0,1965,00-04,16998461.27146015
S0,1965,05-09,17597950.58007464
S0,1965,10-14,18168682.960044615
S0,1965,15-19,18525404.3865076
S0,1965,20-24,19401644.264157563
S0,1965,25-29,19730687.336101577
S0,1965,30-34,18621252.778329343
S0,1965,35-39,17331983.68625872
S0,1965,40-44,16005050.368944913
S0,1965,45-49,14471513.15375194
S0,1965,50-54,12952748.173079282
S0,1965,55-59,10994189.297256023
S0,1965,60-64,8849794.708542198
S0,1965,65-69,6736544.668305695
S0,1965,70-74,5120346.416936874
S0,1965,75+,7150756.117961556
S0,1965,0-8,
S0,1965,9-14,
S0,1965,0-17,
S0,1965,18-29,
S0,1965,30-65,
S0,1965,66+,
S0,1965,15-26,
S0,1965,27-45,
S0,1965,46-65,
S0,1966,00-04,17372406.76147304
S0,1966,05-09,17985084.106327254
S0,1966,10-14,18568371.905054614
S0,1966,15-19,18932940.769381896
S0,1966,20-24,19828456.859459788
S0,1966,25-29,20164738.479105756
S0,1966,30-34,19030897.709340677
S0,1966,35-39,17713266.264072716
S0,1966,40-44,16357142.0263789
S0,1966,45-49,14789868.85613504
S0,1966,50-54,13237692.89161849
S0,1966,55-59,11236048.100732505
S0,1966,60-64,9044479.43711558
S0,1966,65-69,6884740.4641929865
S0,1966,70-74,5232987.815434039
S0,1966,75+,7308064.06235671
S0,1966,0-8,
S0,1966,9-14,
S0,1966,0-17,
S0,1966,18-29,
S0,1966,30-65,
S0,1966,66+,
S0,1966,15-26,
S0,1966,27-45,
S0,1966,46-65,
S0,1967,00-04,17744096.45564626
S0,1967,05-09,18369882.28098117
S0,1967,10-14,18965649.758920535
S0,1967,15-19,19338018.72207971
S0,1967,20-24,20252694.742397457
S0,1967,25-29,20596171.243793473
S0,1967,30-34,19438071.49052991
S0,1967,35-39,18092248.78565994
S0,1967,40-44,16707109.719445795
S0,1967,45-49,15106304.103563756
S0,1967,50-54,13520918.704253525
S0,1967,55-59,11476447.910592973
S0,1967,60-64,9237989.745853752
S0,1967,65-69,7032042.280961007
S0,1967,70-74,5344949.713830531
S0,1967,75+,7464423.059335768
S0,1967,0-8,
S0,1967,9-14,
S0,1967,0-17,
S0,1967,18-29,
S0,1967,30-65,
S0,1967,66+,
S0,1967,15-26,
S0,1967,27-45,
S0,1967,46-65,
S0,1968,00-04,18134822.25049637
S0,1968,05-09,18774387.90759791
S0,1968,10-14,19383274.2119563
S0,1968,15-19,19763842.7562816
S0,1968,20-24,20698659.983336046
S0,1968,25-29,21049699.852602363
S0,1968,30-34,19866098.69115269
S0,1968,35-39,18490640.910334915
S0,1968,40-44,17075001.020143807
S0,1968,45-49,15438945.593248308
S0,1968,50-54,13818649.93678084
S0,1968,55-59,11729159.805116951
S0,1968,60-64,9441410.691816717
S0,1968,65-69,7186888.165422708
S0,1968,70-74,5462645.744766265
S0,1968,75+,7628789.987809479
S0,1968,0-8,
S0,1968,9-14,
S0,1968,0-17,
S0,1968,18-29,
S0,1968,30-65,
S0,1968,66+,
S0,1968,15-26,
S0,1968,27-45,
S0,1968,46-65,
S0,1969,00-04,18527467.62167188
S0,1969,05-09,19180880.80875497
S0,1969,10-14,19802950.390328646
S0,1969,15-19,20191758.79911363
S0,1969,20-24,21146816.183586106
S0,1969,25-29,21505456.57839723
S0,1969,30-34,20296228.72422667
S0,1969,35-39,18890990.274846226
S0,1969,40-44,17444699.714774966
S0,1969,45-49,15773221.29991278
S0,1969,50-54,14117843.877511263
S0,1969,55-59,11983113.234692514
S0,1969,60-64,9645831.013907671
S0,1969,65-69,7342494.784132838
S0,1969,70-74,5580919.99837774
S0,1969,75+,7793964.425970942
S0,1969,0-8,
S0,1969,9-14,
S0,1969,0-17,
S0,1969,18-29,
S0,1969,30-65,
S0,1969,66+,
S0,1969,15-26,
S0,1969,27-45,
S0,1969,46-65,
S0,1970,00-04,18929082.23026723
S0,1970,05-09,19596659.26784193
S0,1970,10-14,20232213.2735487
S0,1970,15-19,20629449.770839952
S0,1970,20-24,21605209.660667375
S0,1970,25-29,21971624.200587258
S0,1970,30-34,20736184.260595143
S0,1970,35-39,19300484.85986638
S0,1970,40-44,17822843.473602414
S0,1970,45-49,16115132.8999224
S0,1970,50-54,14423872.335304618
S0,1970,55-59,12242867.747817427
S0,1970,60-64,9854920.92982775
S0,1970,65-69,7501655.940371692
S0,1970,70-74,5701896.002574265
S0,1970,75+,7962911.960316151
S0,1970,0-8,
S0,1970,9-14,
S0,1970,0-17,
S0,1970,18-29,
S0,1970,30-65,
S0,1970,66+,
S0,1970,15-26,
S0,1970,27-45,
S0,1970,46-65,
S0,1971,00-04,19366560.88212109
S0,1971,05-09,20049566.59705342
S0,1971,10-14,20699809.181224525
S0,1971,15-19,21106226.392360643
S0,1971,20-24,22104537.51398799
S0,1971,25-29,22479420.42743987
S0,1971,30-34,21215427.67158383
S0,1971,35-39,19746547.16726759
S0,1971,40-44,18234755.337061197
S0,1971,45-49,16487577.08552751
S0,1971,50-54,14757229.026717335
S0,1971,55-59,12525818.247582078
S0,1971,60-64,10082682.501681149
S0,1971,65-69,7675030.131869346
S0,1971,70-74,5833675.121385872
S0,1971,75+,8146946.450042218
S0,1971,0-8,
S0,1971,9-14,
S0,1971,0-17,
S0,1971,18-29,
S0,1971,30-65,
S0,1971,66+,
S0,1971,15-26,
S0,1971,27-45,
S0,1971,46-65,
S0,1972,00-04,19786688.59131645
S0,1972,05-09,20484511.063241836
S0,1972,10-14,21148859.658747226
S0,1972,15-19,21564093.465299115
S0,1972,20-24,22584061.409071907
S0,1972,25-29,22967076.829921648
S0,1972,30-34,21675663.6980789
S0,1972,35-39,20174918.093649298
S0,1972,40-44,18630330.268208116
S0,1972,45-49,16845249.675580353
S0,1972,50-54,15077364.38078478
S0,1972,55-59,12797546.581703186
S0,1972,60-64,10301410.76880914
S0,1972,65-69,7841528.089195609
S0,1972,70-74,5960227.717887431
S0,1972,75+,8323681.905027062
S0,1972,0-8,
S0,1972,9-14,
S0,1972,0-17,
S0,1972,18-29,
S0,1972,30-65,
S0,1972,66+,
S0,1972,15-26,
S0,1972,27-45,
S0,1972,46-65,
S0,1973,00-04,20238050.92661961
S0,1973,05-09,20951791.71550347
S0,1973,10-14,21631295.04153078
S0,1973,15-19,22056000.918144166
S0,1973,20-24,23099235.772441745
S0,1973,25-29,23490988.31643434
S0,1973,30-34,22170116.225638464
S0,1973,35-39,20635136.49266407
S0,1973,40-44,19055314.4356457
S0,1973,45-49,17229513.63148409
S0,1973,50-54,15421300.374203801
S0,1973,55-59,13089476.708596855
S0,1973,60-64,10536400.509516299
S0,1973,65-69,8020404.428930253
S0,1973,70-74,6096188.936929643
S0,1973,75+,8513556.85482654
S0,1973,0-8,
S0,1973,9-14,
S0,1973,0-17,
