scheme,year,band,females
S0,1971,70-74,3112838.7275429666
S0,1971,75+,2496938.976700604
S0,1971,0-8,
S0,1971,9-14,
S0,1971,0-17,
S0,1971,18-29,
S0,1971,30-65,
S0,1971,66+,
S0,1971,15-26,
S0,1971,27-45,
S0,1971,46-65,
S0,1972,00-04,41103800.35189689
S0,1972,05-09,36837739.45741812
S0,1972,10-14,32591017.915250674
S0,1972,15-19,27398477.995016545
S0,1972,20-24,22651936.58899346
S0,1972,25-29,18640744.354984224
S0,1972,30-34,16703803.651979059
S0,1972,35-39,15203281.560434848
S0,1972,40-44,13196973.76611054
S0,1972,45-49,11499296.133875757
S0,1972,50-54,9608448.957822472
S0,1972,55-59,7704099.297552317
S0,1972,60-64,6772984.989122093
S0,1972,65-69,4397923.431111783
S0,1972,70-74,3145957.187438637
S0,1972,75+,2606530.1090640128
S0,1972,0-8,
S0,1972,9-14,
S0,1972,0-17,
S0,1972,18-29,
S0,1972,30-65,
S0,1972,66+,
S0,1972,15-26,
S0,1972,27-45,
S0,1972,46-65,
S0,1973,00-04,41533666.40214451
S0,1973,05-09,37549339.20178057
S0,1973,10-14,33292482.799874872
S0,1973,15-19,28000670.446217835
S0,1973,20-24,23787639.45821768
S0,1973,25-29,19100093.778235525
S0,1973,30-34,16761163.831896216
S0,1973,35-39,15505119.683612257
S0,1973,40-44,13519992.944877446
S0,1973,45-49,11780335.818092734
S0,1973,50-54,9764801.720613837
S0,1973,55-59,7799845.3971918225
S0,1973,60-64,6907395.640222818
S0,1973,65-69,4573045.54475525
S0,1973,70-74,3145018.9233763814
S0,1973,75+,2739333.2231780887
S0,1973,0-8,
S0,1973,9-14,
S0,1973,0-17,
S0,1973,18-29,
S0,1973,30-65,
S0,1973,66+,
S0,1973,15-26,
S0,1973,27-45,
S0,1973,46-65,
S0,1974,00-04,41963510.15384699
S0,1974,05-09,38292137.10316781
S0,1974,10-14,34015213.38442792
S0,1974,15-19,28504370.825977594
S0,1974,20-24,25033604.108169645
S0,1974,25-29,19535725.706156254
S0,1974,30-34,16831059.49321559
S0,1974,35-39,15768292.326188058
S0,1974,40-44,13843139.970338672
S0,1974,45-49,12077616.037800193
S0,1974,50-54,9924868.892626584
S0,1974,55-59,7897164.800637692
S0,1974,60-64,7033852.437549114
S0,1974,65-69,4750125.591239989
S0,1974,70-74,3149617.276142359
S0,1974,75+,2875435.000661671
S0,1974,0-8,
S0,1974,9-14,
S0,1974,0-17,
S0,1974,18-29,
S0,1974,30-65,
S0,1974,66+,
S0,1974,15-26,
S0,1974,27-45,
S0,1974,46-65,
S0,1975,00-04,42449772.02718985
S0,1975,05-09,39029588.97041668
S0,1975,10-14,34759888.725501105
S0,1975,15-19,28968630.64584917
S0,1975,20-24,25985120.468388736
S0,1975,25-29,20485361.27389711
S0,1975,30-34,17029257.65383154
S0,1975,35-39,15986756.565681309
S0,1975,40-44,14173404.791232914
S0,1975,45-49,12406839.11460933
S0,1975,50-54,10108034.963881671
S0,1975,55-59,7990761.609374136
S0,1975,60-64,7188681.628768265
S0,1975,65-69,4886933.394688606
S0,1975,70-74,3210789.7783851624
S0,1975,75+,2994949.724725485
S0,1975,0-8,
S0,1975,9-14,
S0,1975,0-17,
S0,1975,18-29,
S0,1975,30-65,
S0,1975,66+,
S0,1975,15-26,
S0,1975,27-45,
S0,1975,46-65,
S0,1976,00-04,42859536.65368631
S0,1976,05-09,39829863.68990109
S0,1976,10-14,35439954.12631899
S0,1976,15-19,29434844.97486168
S0,1976,20-24,26897860.0798333
S0,1976,25-29,21545621.268496454
S0,1976,30-34,17321589.031365186
S0,1976,35-39,16171594.404793411
S0,1976,40-44,14489759.35088846
S0,1976,45-49,12755995.501545757
S0,1976,50-54,10308198.395866066
S0,1976,55-59,8083705.139359772
S0,1976,60-64,7359396.384117186
S0,1976,65-69,4998609.824314535
S0,1976,70-74,3306211.110634029
S0,1976,75+,3106872.0234240294
S0,1976,0-8,
S0,1976,9-14,
S0,1976,0-17,
S0,1976,18-29,
S0,1976,30-65,
S0,1976,66+,
S0,1976,15-26,
S0,1976,27-45,
S0,1976,46-65,
S0,1977,00-04,43281003.18698453
S0,1977,05-09,40705516.407718934
S0,1977,10-14,36105711.11162454
S0,1977,15-19,29890011.790996403
S0,1977,20-24,27764780.042090982
S0,1977,25-29,22674729.68572712
S0,1977,30-34,17686679.93631512
S0,1977,35-39,16303583.221489877
S0,1977,40-44,14818789.376033008
S0,1977,45-49,13125169.82539332
S0,1977,50-54,10521452.232057512
S0,1977,55-59,8174169.586987317
S0,1977,60-64,7548396.241861045
S0,1977,65-69,5078726.393282533
S0,1977,70-74,3447614.1868400574
S0,1977,75+,3204107.2127592564
S0,1977,0-8,
S0,1977,9-14,
S0,1977,0-17,
S0,1977,18-29,
S0,1977,30-65,
S0,1977,66+,
S0,1977,15-26,
S0,1977,27-45,
S0,1977,46-65,
S0,1978,00-04,43621942.55182777
S0,1978,05-09,41592847.270551816
S0,1978,10-14,36786606.26649687
S0,1978,15-19,30362423.035289466
S0,1978,20-24,28600762.38496819
S0,1978,25-29,23935655.217752278
S0,1978,30-34,18114391.345453024
S0,1978,35-39,16421431.763045311
S0,1978,40-44,15162393.978427231
S0,1978,45-49,13516415.727845848
S0,1978,50-54,10752238.8655262
S0,1978,55-59,8266315.501250267
S0,1978,60-64,7757655.143592298
S0,1978,65-69,5131763.591696739
S0,1978,70-74,3621546.3745099306
S0,1978,75+,3294019.684664607
S0,1978,0-8,
S0,1978,9-14,
S0,1978,0-17,
S0,1978,18-29,
S0,1978,30-65,
S0,1978,66+,
S0,1978,15-26,
S0,1978,27-45,
S0,1978,46-65,
S0,1979,00-04,43908899.64057008
S0,1979,05-09,42514140.55875047
S0,1979,10-14,37493364.4819444
S0,1979,15-19,30821603.961267248
S0,1979,20-24,29307954.955160916
S0,1979,25-29,25286905.373669863
S0,1979,30-34,18502938.070788175
S0,1979,35-39,16545004.411366582
S0,1979,40-44,15465379.535738021
S0,1979,45-49,13907479.540115982
S0,1979,50-54,10994638.640823841
S0,1979,55-59,8362568.819286704
S0,1979,60-64,7974112.132301629
S0,1979,65-69,5177145.720288038
S0,1979,70-74,3798386.8272207975
S0,1979,75+,3388047.344648838
S0,1979,0-8,
S0,1979,9-14,
S0,1979,0-17,
S0,1979,18-29,
S0,1979,30-65,
S0,1979,66+,
S0,1979,15-26,
S0,1979,27-45,
S0,1979,46-65,
S0,1980,00-04,44275809.7072926
S0,1980,05-09,43510641.47734979
S0,1980,10-14,38197163.43234722
S0,1980,15-19,31332052.104679197
S0,1980,20-24,30023790.986900747
S0,1980,25-29,26361386.110937297
S0,1980,30-34,19372832.769896835
S0,1980,35-39,16792433.894634277
S0,1980,40-44,15723154.63653627
S0,1980,45-49,14305713.78933072
S0,1980,50-54,11263725.832532585
S0,1980,55-59,8479881.285101771
S0,1980,60-64,8191596.138009369
S0,1980,65-69,5241550.515410066
S0,1980,70-74,3943252.114304781
S0,1980,75+,3503462.269477606
S0,1980,0-8,
S0,1980,9-14,
S0,1980,0-17,
S0,1980,18-29,
S0,1980,30-65,
S0,1980,66+,
S0,1980,15-26,
S0,1980,27-45,
S0,1980,46-65,
S0,1981,00-04,44815916.40205983
S0,1981,05-09,44452880.76128555
S0,1981,10-14,38955043.31507978
S0,1981,15-19,31762525.263737753
S0,1981,20-24,30711730.55524528
S0,1981,25-29,27360522.21380648
S0,1981,30-34,20313317.273991704
S0,1981,35-39,17113010.938010395
S0,1981,40-44,15935190.979688346
S0,1981,45-49,14682100.049090326
S0,1981,50-54,11544575.995809078
S0,1981,55-59,8611069.260249197
S0,1981,60-64,8410208.917241216
S0,1981,65-69,5315148.79900527
S0,1981,70-74,4067904.645787835
S0,1981,75+,3632160.5221015215
S0,1981,0-8,
S0,1981,9-14,
S0,1981,0-17,
S0,1981,18-29,
S0,1981,30-65,
S0,1981,66+,
S0,1981,15-26,
S0,1981,27-45,
S0,1981,46-65,
S0,1982,00-04,45340247.43158974
S0,1982,05-09,45417531.26712465
S0,1982,10-14,39786058.00843586
S0,1982,15-19,32181656.46849531
S0,1982,20-24,31393473.37947762
S0,1982,25-29,28316626.555975974
S0,1982,30-34,21316281.28947878
S0,1982,35-39,17507375.43598458
S0,1982,40-44,16096084.054191887
S0,1982,45-49,15071884.223408878
S0,1982,50-54,11842752.101394296
S0,1982,55-59,8756173.987002969
S0,1982,60-64,8629199.259728491
S0,1982,65-69,5401553.979273081
S0,1982,70-74,4168105.2859567404
S0,1982,75+,3777492.0887057185
S0,1982,0-8,
S0,1982,9-14,
S0,1982,0-17,
S0,1982,18-29,
S0,1982,30-65,
S0,1982,66+,
S0,1982,15-26,
S0,1982,27-45,
S0,1982,46-65,
S0,1983,00-04,45964727.11129235
S0,1983,05-09,46310437.12817028
S0,1983,10-14,40627017.88724476
S0,1983,15-19,32620406.985810682
S0,1983,20-24,32086047.20998922
S0,1983,25-29,29217634.04318565
S0,1983,30-34,22417248.97202611
S0,1983,35-39,17947840.657910436
S0,1983,40-44,16231519.715952218
S0,1983,45-49,15468318.686340451
S0,1983,50-54,12155776.292156756
S0,1983,55-59,8916795.77205795
S0,1983,60-64,8850006.514842987
S0,1983,65-69,5502141.7422834635
S0,1983,70-74,4246875.279587686
S0,1983,75+,3937167.00794065
S0,1983,0-8,
S0,1983,9-14,
S0,1983,0-17,
S0,1983,18-29,
S0,1983,30-65,
S0,1983,66+,
S0,1983,15-26,
S0,1983,27-45,
S0,1983,46-65,
S0,1984,00-04,46662956.62114475
S0,1984,05-09,47159757.22664585
S0,1984,10-14,41508307.45595044
S0,1984,15-19,33105169.070233762
S0,1984,20-24,32812293.436847806
S0,1984,25-29,30051976.094049513
S0,1984,30-34,23653778.208993733
S0,1984,35-39,18388788.34939432
S0,1984,40-44,16397138.06553471
S0,1984,45-49,15838065.487879455
S0,1984,50-54,12477651.963258386
S0,1984,55-59,9095866.734896958
S0,1984,60-64,9079450.641694546
S0,1984,65-69,5611250.537698269
S0,1984,70-74,4321831.499884725
S0,1984,75+,4100927.8675779104
S0,1984,0-8,
S0,1984,9-14,
S0,1984,0-17,
S0,1984,18-29,
S0,1984,30-65,
S0,1984,66+,
S0,1984,15-26,
S0,1984,27-45,
S0,1984,46-65,
S0,1985,00-04,47389179.42311455
S0,1985,05-09,48064102.576284245
S0,1985,10-14,42453222.99103454
S0,1985,15-19,33585078.21570623
S0,1985,20-24,33541897.30552709
S0,1985,25-29,30810660.941583604
S0,1985,30-34,24561793.723462075
S0,1985,35-39,19258043.074490547
S0,1985,40-44,16650502.693867326
S0,1985,45-49,16135533.581168711
S0,1985,50-54,12792639.843151629
S0,1985,55-59,9293677.946022153
S0,1985,60-64,9325006.255246758
S0,1985,65-69,5720792.516679704
S0,1985,70-74,4411778.569819331
S0,1985,75+,4258401.2589607835
S0,1985,0-8,
S0,1985,9-14,
S0,1985,0-17,
S0,1985,18-29,
S0,1985,30-65,
S0,1985,66+,
S0,1985,15-26,
S0,1985,27-45,
S0,1985,46-65,
S0,1986,00-04,48020616.12654305
S0,1986,05-09,49156253.1548622
S0,1986,10-14,43350086.21776895
S0,1986,15-19,34131417.66912979
S0,1986,20-24,34207367.61809158
S0,1986,25-29,31572481.37348777
S0,1986,30-34,25429114.76379448
S0,1986,35-39,20219966.475176305
S0,1986,40-44,16988866.21697682
S0,1986,45-49,16390600.18037486
S0,1986,50-54,13093503.950859427
S0,1986,55-59,9508312.517930925
S0,1986,60-64,9585601.51086831
S0,1986,65-69,5835750.345964313
S0,1986,70-74,4511297.820223153
S0,1986,75+,4414215.074295044
S0,1986,0-8,
S0,1986,9-14,
S0,1986,0-17,
S0,1986,18-29,
