scheme,year,band,females
S0,1976,27-45,
S0,1976,46-65,
S0,1977,00-04,43281003.186984524
S0,1977,05-09,40705516.40771893
S0,1977,10-14,36105711.11162455
S0,1977,15-19,29890011.790996395
S0,1977,20-24,27764780.042090975
S0,1977,25-29,22674729.685727105
S0,1977,30-34,17686679.93631513
S0,1977,35-39,16303583.221489888
S0,1977,40-44,14818789.37603301
S0,1977,45-49,13125169.82539332
S0,1977,50-54,10521452.2320575
S0,1977,55-59,8174169.586987305
S0,1977,60-64,7548396.24186105
S0,1977,65-69,5078726.393282561
S0,1977,70-74,3447614.186840062
S0,1977,75+,3204107.2127593155
S0,1977,0-8,
S0,1977,9-14,
S0,1977,0-17,
S0,1977,18-29,
S0,1977,30-65,
S0,1977,66+,
S0,1977,15-26,
S0,1977,27-45,
S0,1977,46-65,
S0,1978,00-04,43621942.551827766
S0,1978,05-09,41592847.27055182
S0,1978,10-14,36786606.26649686
S0,1978,15-19,30362423.03528946
S0,1978,20-24,28600762.38496818
S0,1978,25-29,23935655.21775227
S0,1978,30-34,18114391.34545304
S0,1978,35-39,16421431.763045302
S0,1978,40-44,15162393.978427239
S0,1978,45-49,13516415.727845863
S0,1978,50-54,10752238.8655262
S0,1978,55-59,8266315.501250257
S0,1978,60-64,7757655.143592278
S0,1978,65-69,5131763.591696717
S0,1978,70-74,3621546.374509905
S0,1978,75+,3294019.6846646625
S0,1978,0-8,
S0,1978,9-14,
S0,1978,0-17,
S0,1978,18-29,
S0,1978,30-65,
S0,1978,66+,
S0,1978,15-26,
S0,1978,27-45,
S0,1978,46-65,
S0,1979,00-04,43908899.64057008
S0,1979,05-09,42514140.55875046
S0,1979,10-14,37493364.4819444
S0,1979,15-19,30821603.961267255
S0,1979,20-24,29307954.95516092
S0,1979,25-29,25286905.373669848
S0,1979,30-34,18502938.070788175
S0,1979,35-39,16545004.411366588
S0,1979,40-44,15465379.53573801
S0,1979,45-49,13907479.540116005
S0,1979,50-54,10994638.640823834
S0,1979,55-59,8362568.819286676
S0,1979,60-64,7974112.13230165
S0,1979,65-69,5177145.720288036
S0,1979,70-74,3798386.8272207957
S0,1979,75+,3388047.3446488422
S0,1979,0-8,
S0,1979,9-14,
S0,1979,0-17,
S0,1979,18-29,
S0,1979,30-65,
S0,1979,66+,
S0,1979,15-26,
S0,1979,27-45,
S0,1979,46-65,
S0,1980,00-04,44275809.7072926
S0,1980,05-09,43510641.47734979
S0,1980,10-14,38197163.43234722
S0,1980,15-19,31332052.10467919
S0,1980,20-24,30023790.98690074
S0,1980,25-29,26361386.110937294
S0,1980,30-34,19372832.769896824
S0,1980,35-39,16792433.89463427
S0,1980,40-44,15723154.63653627
S0,1980,45-49,14305713.78933075
S0,1980,50-54,11263725.83253258
S0,1980,55-59,8479881.285101777
S0,1980,60-64,8191596.13800936
S0,1980,65-69,5241550.515410047
S0,1980,70-74,3943252.114304788
S0,1980,75+,3503462.269477548
S0,1980,0-8,
S0,1980,9-14,
S0,1980,0-17,
S0,1980,18-29,
S0,1980,30-65,
S0,1980,66+,
S0,1980,15-26,
S0,1980,27-45,
S0,1980,46-65,
S0,1981,00-04,44815916.40205983
S0,1981,05-09,44452880.76128556
S0,1981,10-14,38955043.31507977
S0,1981,15-19,31762525.263737734
S0,1981,20-24,30711730.55524527
S0,1981,25-29,27360522.213806495
S0,1981,30-34,20313317.273991715
S0,1981,35-39,17113010.93801041
S0,1981,40-44,15935190.97968834
S0,1981,45-49,14682100.049090302
S0,1981,50-54,11544575.995809048
S0,1981,55-59,8611069.26024922
S0,1981,60-64,8410208.917241193
S0,1981,65-69,5315148.799005287
S0,1981,70-74,4067904.6457878267
S0,1981,75+,3632160.52210145
S0,1981,0-8,
S0,1981,9-14,
S0,1981,0-17,
S0,1981,18-29,
S0,1981,30-65,
S0,1981,66+,
S0,1981,15-26,
S0,1981,27-45,
S0,1981,46-65,
S0,1982,00-04,45340247.43158974
S0,1982,05-09,45417531.267124645
S0,1982,10-14,39786058.00843586
S0,1982,15-19,32181656.4684953
S0,1982,20-24,31393473.37947762
S0,1982,25-29,28316626.55597598
S0,1982,30-34,21316281.28947878
S0,1982,35-39,17507375.435984585
S0,1982,40-44,16096084.054191869
S0,1982,45-49,15071884.223408852
S0,1982,50-54,11842752.101394322
S0,1982,55-59,8756173.98700299
S0,1982,60-64,8629199.259728463
S0,1982,65-69,5401553.979273064
S0,1982,70-74,4168105.2859567665
S0,1982,75+,3777492.0887057
S0,1982,0-8,
S0,1982,9-14,
S0,1982,0-17,
S0,1982,18-29,
S0,1982,30-65,
S0,1982,66+,
S0,1982,15-26,
S0,1982,27-45,
S0,1982,46-65,
S0,1983,00-04,45964727.11129235
S0,1983,05-09,46310437.12817028
S0,1983,10-14,40627017.88724476
