scheme,year,band,females
S0,1962,18-29,
S0,1962,30-65,
S0,1962,66+,
S0,1962,15-26,
S0,1962,27-45,
S0,1962,46-65,
S0,1963,00-04,36283793.74574621
S0,1963,05-09,29967970.363581464
S0,1963,10-14,24685965.0807241
S0,1963,15-19,19680624.996775366
S0,1963,20-24,17853385.62448513
S0,1963,25-29,16480755.67783605
S0,1963,30-34,14427118.901007831
S0,1963,35-39,12403433.653672097
S0,1963,40-44,10847017.83198961
S0,1963,45-49,9420525.532295253
S0,1963,50-54,8108253.228541591
S0,1963,55-59,6435990.778844317
S0,1963,60-64,5016559.418018652
S0,1963,65-69,3522508.1462919144
S0,1963,70-74,2266785.634906463
S0,1963,75+,1962174.96531208
S0,1963,0-8,
S0,1963,9-14,
S0,1963,0-17,
S0,1963,18-29,
S0,1963,30-65,
S0,1963,66+,
S0,1963,15-26,
S0,1963,27-45,
S0,1963,46-65,
S0,1964,00-04,36999180.75736894
S0,1964,05-09,30710385.55117371
S0,1964,10-14,25973476.905809067
S0,1964,15-19,20054464.35680496
S0,1964,20-24,17957169.14950415
S0,1964,25-29,16769658.97477421
S0,1964,30-34,14746169.93121721
S0,1964,35-39,12657317.06001625
S0,1964,40-44,11027501.2142868
S0,1964,45-49,9616570.696868345
S0,1964,50-54,8210530.426388889
S0,1964,55-59,6717072.025613289
S0,1964,60-64,5027868.87949115
S0,1964,65-69,3775988.763310898
S0,1964,70-74,2216946.092240532
S0,1964,75+,2082861.0017148948
S0,1964,0-8,
S0,1964,9-14,
S0,1964,0-17,
S0,1964,18-29,
S0,1964,30-65,
S0,1964,66+,
S0,1964,15-26,
S0,1964,27-45,
S0,1964,46-65,
S0,1965,00-04,37725943.25565689
S0,1965,05-09,31403843.86288792
S0,1965,10-14,26904594.31408305
S0,1965,15-19,20869357.21392293
S0,1965,20-24,18149870.07130589
S0,1965,25-29,16982944.69607402
S0,1965,30-34,15047543.374046188
S0,1965,35-39,12925981.07200567
S0,1965,40-44,11224665.42892251
S0,1965,45-49,9808414.608548997
S0,1965,50-54,8336010.16534422
S0,1965,55-59,6934262.873557876
S0,1965,60-64,5123126.605906684
S0,1965,65-69,3944678.121895332
S0,1965,70-74,2247575.7662233803
S0,1965,75+,2169824.5921049006
S0,1965,0-8,
S0,1965,9-14,
S0,1965,0-17,
S0,1965,18-29,
S0,1965,30-65,
S0,1965,66+,
S0,1965,15-26,
S0,1965,27-45,
S0,1965,46-65,
S0,1966,00-04,38234818.77408828
S0,1966,05-09,32101497.24272557
S0,1966,10-14,27784601.6836505
S0,1966,15-19,21756715.204742596
S0,1966,20-24,18425956.04624074
S0,1966,25-29,17151907.20269359
S0,1966,30-34,15320872.55276977
S0,1966,35-39,13203298.75822754
S0,1966,40-44,11434155.706867062
S0,1966,45-49,9998807.859293744
S0,1966,50-54,8468092.669183781
S0,1966,55-59,7103588.815633269
S0,1966,60-64,5264491.957876223
S0,1966,65-69,4055631.047075941
S0,1966,70-74,2319038.495032822
S0,1966,75+,2230452.7282576687
S0,1966,0-8,
S0,1966,9-14,
S0,1966,0-17,
S0,1966,18-29,
S0,1966,30-65,
S0,1966,66+,
S0,1966,15-26,
S0,1966,27-45,
S0,1966,46-65,
S0,1967,00-04,38674526.27900685
S0,1967,05-09,32814089.790005457
S0,1967,10-14,28633591.029960204
S0,1967,15-19,22686366.22774077
S0,1967,20-24,18764084.09177598
S0,1967,25-29,17253966.35212749
S0,1967,30-34,15592903.166621912
S0,1967,35-39,13490359.70500521
S0,1967,40-44,11653889.55308914
S0,1967,45-49,10188047.64209546
S0,1967,50-54,8614766.740405574
S0,1967,55-59,7219859.05196453
S0,1967,60-64,5480456.608888565
S0,1967,65-69,4088120.841504935
S0,1967,70-74,2456695.5891408604
S0,1967,75+,2266999.1656281035
S0,1967,0-8,
S0,1967,9-14,
S0,1967,0-17,
S0,1967,18-29,
S0,1967,30-65,
S0,1967,66+,
S0,1967,15-26,
S0,1967,27-45,
S0,1967,46-65,
S0,1968,00-04,39076358.38363532
S0,1968,05-09,33553901.428337783
S0,1968,10-14,29441102.115273867
S0,1968,15-19,23722510.20074318
S0,1968,20-24,19186459.15283092
S0,1968,25-29,17365646.90719468
S0,1968,30-34,15892882.04435703
S0,1968,35-39,13807667.77275173
S0,1968,40-44,11900222.697154962
S0,1968,45-49,10387374.825955437
S0,1968,50-54,8783035.965372123
S0,1968,55-59,7291197.6170654
S0,1968,60-64,5753964.735879616
S0,1968,65-69,4068959.36305117
S0,1968,70-74,2647544.887021767
S0,1968,75+,2282033.8851095783
S0,1968,0-8,
S0,1968,9-14,
S0,1968,0-17,
S0,1968,18-29,
S0,1968,30-65,
S0,1968,66+,
S0,1968,15-26,
S0,1968,27-45,
S0,1968,46-65,
S0,1969,00-04,39565300.14814071
S0,1969,05-09,34342168.24755601
S0,1969,10-14,30185159.20888409
S0,1969,15-19,24842260.8336082
S0,1969,20-24,19545527.98723105
S0,1969,25-29,17457109.31723908
S0,1969,30-34,16125624.92843529
S0,1969,35-39,14108979.31189304
S0,1969,40-44,12152787.88687446
S0,1969,45-49,10592380.10135236
S0,1969,50-54,8956982.751501985
S0,1969,55-59,7347695.444036892
S0,1969,60-64,6043265.540588601
S0,1969,65-69,4054523.027889753
S0,1969,70-74,2839053.97165277
S0,1969,75+,2310133.771733491
S0,1969,0-8,
S0,1969,9-14,
S0,1969,0-17,
S0,1969,18-29,
S0,1969,30-65,
S0,1969,66+,
S0,1969,15-26,
S0,1969,27-45,
S0,1969,46-65,
S0,1970,00-04,40004628.33210389
S0,1970,05-09,35153673.04750635
S0,1970,10-14,30877756.821022097
S0,1970,15-19,25613068.11698971
S0,1970,20-24,20373473.58690662
S0,1970,25-29,17657251.81837672
S0,1970,30-34,16292997.899316058
S0,1970,35-39,14404991.511817288
S0,1970,40-44,12427514.674997687
S0,1970,45-49,10820680.27175117
S0,1970,50-54,9124605.909917705
S0,1970,55-59,7421214.66992202
S0,1970,60-64,6284599.513932079
S0,1970,65-69,4103400.1092895996
S0,1970,70-74,2967202.0268234345
S0,1970,75+,2371237.9060676442
S0,1970,0-8,
S0,1970,9-14,
S0,1970,0-17,
S0,1970,18-29,
S0,1970,30-65,
S0,1970,66+,
S0,1970,15-26,
S0,1970,27-45,
S0,1970,46-65,
S0,1971,00-04,40496057.97110565
S0,1971,05-09,35917944.29206175
S0,1971,10-14,31601270.32753913
S0,1971,15-19,26372910.32159774
S0,1971,20-24,21376667.371937905
S0,1971,25-29,18023383.31558632
S0,1971,30-34,16470756.34898508
S0,1971,35-39,14716823.301888512
S0,1971,40-44,12739998.90225689
S0,1971,45-49,11083666.538344849
S0,1971,50-54,9300166.17026367
S0,1971,55-59,7506877.342891413
S0,1971,60-64,6501338.1162337
S0,1971,65-69,4191780.820886148
S0,1971,70-74,3060247.90410703
S0,1971,75+,2452589.3949337793
S0,1971,0-8,
S0,1971,9-14,
S0,1971,0-17,
S0,1971,18-29,
S0,1971,30-65,
S0,1971,66+,
S0,1971,15-26,
S0,1971,27-45,
S0,1971,46-65,
S0,1972,00-04,41013994.60287454
S0,1972,05-09,36665791.52707394
S0,1972,10-14,32325006.056957684
S0,1972,15-19,27036497.11632581
S0,1972,20-24,22369966.46320624
S0,1972,25-29,18398851.562865395
S0,1972,30-34,16542607.329195447
S0,1972,35-39,15007268.25026052
S0,1972,40-44,13049161.899355348
S0,1972,45-49,11350485.823637858
S0,1972,50-54,9464292.011057135
S0,1972,55-59,7597753.027240271
S0,1972,60-64,6676480.505429354
S0,1972,65-69,4331824.753716511
S0,1972,70-74,3097789.2907175133
S0,1972,75+,2564326.6865515895
S0,1972,0-8,
S0,1972,9-14,
S0,1972,0-17,
S0,1972,18-29,
S0,1972,30-65,
S0,1972,66+,
S0,1972,15-26,
S0,1972,27-45,
S0,1972,46-65,
S0,1973,00-04,41515480.37169325
S0,1973,05-09,37439166.63995248
S0,1973,10-14,33077237.04510434
S0,1973,15-19,27676956.90066133
S0,1973,20-24,23530910.2640002
S0,1973,25-29,18883858.63758697
S0,1973,30-34,16627585.24705689
S0,1973,35-39,15330917.991304997
S0,1973,40-44,13391193.57967585
S0,1973,45-49,11647456.807247361
S0,1973,50-54,9634446.592721477
S0,1973,55-59,7705069.472440314
S0,1973,60-64,6820456.023849529
S0,1973,65-69,4511772.129509184
S0,1973,70-74,3102031.0695871743
S0,1973,75+,2699430.9652773417
S0,1973,0-8,
S0,1973,9-14,
S0,1973,0-17,
S0,1973,18-29,
S0,1973,30-65,
S0,1973,66+,
S0,1973,15-26,
S0,1973,27-45,
S0,1973,46-65,
S0,1974,00-04,42019892.62190293
S0,1974,05-09,38247540.03432605
S0,1974,10-14,33854318.71042535
S0,1974,15-19,28223083.80747871
S0,1974,20-24,24805883.84754743
S0,1974,25-29,19347697.13721464
S0,1974,30-34,16725868.1289562
S0,1974,35-39,15617921.208252281
S0,1974,40-44,13734986.57468015
S0,1974,45-49,11961938.298248779
S0,1974,50-54,9809200.189328726
S0,1974,55-59,7814579.731279391
S0,1974,60-64,6957294.749687707
S0,1974,65-69,4694420.524048753
S0,1974,70-74,3111868.509273372
S0,1974,75+,2838341.296420662
S0,1974,0-8,
S0,1974,9-14,
S0,1974,0-17,
S0,1974,18-29,
S0,1974,30-65,
S0,1974,66+,
S0,1974,15-26,
S0,1974,27-45,
S0,1974,46-65,
S0,1975,00-04,42581252.55483146
S0,1975,05-09,39052011.885249354
S0,1975,10-14,34654756.64596852
S0,1975,15-19,28730945.91261506
S0,1975,20-24,25792022.81375426
S0,1975,25-29,20322230.98122739
S0,1975,30-34,16951578.72016389
S0,1975,35-39,15860945.07539611
S0,1975,40-44,14086523.607673062
S0,1975,45-49,12308748.092038877
S0,1975,50-54,10007016.6614186
S0,1975,55-59,7920515.073723255
S0,1975,60-64,7122448.951549355
S0,1975,65-69,4837680.894627196
S0,1975,70-74,3177620.871203123
S0,1975,75+,2961239.2572647533
S0,1975,0-8,
S0,1975,9-14,
S0,1975,0-17,
S0,1975,18-29,
S0,1975,30-65,
S0,1975,66+,
S0,1975,15-26,
S0,1975,27-45,
S0,1975,46-65,
S0,1976,00-04,43065934.24721244
S0,1976,05-09,39920538.11413524
S0,1976,10-14,35391863.75813801
S0,1976,15-19,29241125.83889109
S0,1976,20-24,26741708.54553016
S0,1976,25-29,21408964.29609726
S0,1976,30-34,17271135.601475295
S0,1976,35-39,16070619.756599989
S0,1976,40-44,14424740.506927121
S0,1976,45-49,12675951.851487853
S0,1976,50-54,10221860.74429702
S0,1976,55-59,8025793.579375739
S0,1976,60-64,7303583.896946832
S0,1976,65-69,4956283.308310408
S0,1976,70-74,3277394.485465798
S0,1976,75+,3076894.416724569
S0,1976,0-8,
S0,1976,9-14,
S0,1976,0-17,
S0,1976,18-29,
S0,1976,30-65,
S0,1976,66+,
S0,1976,15-26,
S0,1976,27-45,
S0,1976,46-65,
S0,1977,00-04,43561229.3799829
S0,1977,05-09,40865058.83249619
S0,1977,10-14,36114931.44510707
S0,1977,15-19,29740309.566656776
S0,1977,20-24,27647311.29748036
S0,1977,25-29,22566478.995492227
S0,1977,30-34,17663370.74083887
S0,1977,35-39,16227446.327466918
S0,1977,40-44,14775844.77749583
S0,1977,45-49,13063537.269839052
S0,1977,50-54,10449800.63412477
S0,1977,55-59,8128496.603689053
S0,1977,60-64,7503050.9384680865
S0,1977,65-69,5043662.556531301
S0,1977,70-74,3422956.918126693
S0,1977,75+,3178190.541975505
S0,1977,0-8,
S0,1977,9-14,
S0,1977,0-17,
S0,1977,18-29,
S0,1977,30-65,
S0,1977,66+,
S0,1977,15-26,
S0,1977,27-45,
S0,1977,46-65,
S0,1978,00-04,43972651.16010669
S0,1978,05-09,41820205.383180454
S0,1978,10-14,36851672.08858503
S0,1978,15-19,30254984.543397445
S0,1978,20-24,28521859.96176418
S0,1978,25-29,23856450.215243965
S0,1978,30-34,18117577.08654495
S0,1978,35-39,16368891.107813999
S0,1978,40-44,15140998.686851371
S0,1978,45-49,13472897.144088339
S0,1978,50-54,10694718.24822754
S0,1978,55-59,8232312.388815407
S0,1978,60-64,7722481.8789642565
S0,1978,65-69,5103836.040557626
S0,1978,70-74,3600935.093367192
S0,1978,75+,3272181.4080284648
S0,1978,0-8,
S0,1978,9-14,
S0,1978,0-17,
S0,1978,18-29,
S0,1978,30-65,
S0,1978,66+,
S0,1978,15-26,
S0,1978,27-45,
S0,1978,46-65,
S0,1979,00-04,44326264.26459873
S0,1979,05-09,42808052.5707706
S0,1979,10-14,37612744.24488398
S0,1979,15-19,30754889.01836157
S0,1979,20-24,29267447.063840047
S0,1979,25-29,25237841.91234842
S0,1979,30-34,18532045.55399902
S0,1979,35-39,16514807.364958592
S0,1979,40-44,15465060.41905937
S0,1979,45-49,13881894.906553652
S0,1979,50-54,10950816.81549073
S0,1979,55-59,8339701.711983748
S0,1979,60-64,7948935.414323921
S0,1979,65-69,5156056.063246739
S0,1979,70-74,3781956.05557839
S0,1979,75+,3370212.1988401464
S0,1979,0-8,
S0,1979,9-14,
S0,1979,0-17,
S0,1979,18-29,
S0,1979,30-65,
S0,1979,66+,
S0,1979,15-26,
S0,1979,27-45,
S0,1979,46-65,
S0,1980,00-04,44760169.78947036
S0,1980,05-09,43873174.50748393
S0,1980,10-14,38371925.6591533
